REFSEQ	SYMBOL
NM_001193338	FCMR
NM_001130845	BCL6
NM_170771	ALDH8A1
NM_182607	VSIG1
NM_014423	AFF4
NM_001304996	TMEM170A
NM_134431	SLCO1A2
NM_015189	EXOC6B
NM_001170553	VSIG1
NM_001207024	M6PR
NM_001128591	PSMG4
NM_014155	ZBTB44
NM_017444	CHRAC1
NM_001190440	NCOR1
NM_021964	ZNF148
NM_020529	NFKBIA
NM_001278121	ZKSCAN8
NM_001323355	PTPRE
NM_002970	SAT1
NM_001323661	ZEB1
NM_003371	VAV2
NM_001289185	ZNF302
NM_005164	ABCD2
NM_005134	PPP4R1
NM_001305052	TMEM59
NM_015215	CAMTA1
NM_004015	DMD
NM_013280	FLRT1
NM_002361	MAG
NM_006749	SLC20A2
NM_012201	GLG1
NM_006200	PCSK5
NM_001033518	WIPI2
NM_001130405	PRR20C
NM_001318142	ZNF485
NM_005862	STAG1
NM_001287390	KYAT1
NM_001135734	ZNF384
NM_006298	ZKSCAN8
NM_001286969	CENPP
NM_000633	BCL2
NM_017821	RHBDL2
NM_001316968	C5orf30
NM_001193350	MEF2C
NM_001166169	NEK6
NM_001321855	JAK1
NM_000439	PCSK1
NM_001949	E2F3
NM_001177314	RRAS2
NM_001114980	TP63
NM_173557	RNF152
NM_001256504	CADM2
NM_001184795	PEX11B
NM_001145373	OTUD1
NM_002508	NID1
NM_001199261	UCHL5
NM_001204798	KCNH2
NM_001314052	KLF4
NM_015419	MXRA5
NM_004998	MYO1E
NM_080627	SOGA1
NM_001128840	CACNA1D
NM_005654	NR2F1
NM_001291874	IGF2BP2
NM_138795	ARL8A
NM_001277077	HOMER1
NM_001286620	MAP3K7CL
NM_001323964	TIAL1
NM_022912	REEP1
NM_001093756	TRAPPC13
NM_175623	RAB3IP
NM_018186	C1orf112
NM_001002838	WNK3
NM_001083112	GPD2
NM_001170634	FUS
NM_001079668	NKX2-1
NM_001301200	LINGO1
NM_001144884	SLC30A7
NM_025185	TANC2
NM_001093755	TRAPPC13
NM_016252	BIRC6
NM_001318531	THEMIS
NM_014910	ZNF507
NM_001177984	SCN8A
NM_001319124	ZNF431
NM_001286624	MAP3K7CL
NM_001195278	TMEM178B
NM_022071	SH2D4A
NM_002114	HIVEP1
NM_021153	CDH19
NM_001130105	COL4A3BP
NM_002051	GATA3
NM_001136030	TESPA1
NM_017637	BNC2
NM_014299	BRD4
NM_005485	PARP3
NM_014636	RALGPS1
NM_001039845	MDH1B
NM_001417	EIF4B
NM_001297599	MIER3
NM_001318153	JMJD1C
NM_018534	NRP2
NM_016027	LACTB2
NM_001282925	ABI2
NM_001174092	TMEM185A
NM_006504	PTPRE
NM_005057	RBBP5
NM_031427	DNAL1
NM_003488	AKAP1
NM_002957	RXRA
NM_001317224	CDH10
NM_213594	RFX4
NM_001320619	FAS
NM_002943	RORA
NM_003778	B4GALT4
NM_001018056	VLDLR
NM_001304371	CENPM
NM_001134493	TOMM6
NM_001301856	ELOVL5
NM_001282857	XRN1
NM_005999	TSNAX
NM_001278618	PTPN1
NM_144497	AKAP12
NM_001178111	SCAMP5
NM_005445	SMC3
NM_004965	HMGN1
NM_004281	BAG3
NM_001318486	TRAPPC4
NM_001127241	BBC3
NM_001306087	SLC35F4
NM_001323659	ZEB1
NM_001243799	TSC22D1
NM_017856	GEMIN8
NM_001303041	ITGA10
NM_005525	HSD11B1
NM_005002	NDUFA9
NM_001318066	SEC24D
NM_001304473	CHRD
NM_001271784	FAR2
NM_015554	GLCE
NM_001136029	DEPDC5
NM_015295	SMCHD1
NM_004235	KLF4
NM_001146688	KDM3A
NM_001286841	OSR2
NM_001143971	CDYL
NM_001282147	SOHLH2
NM_153183	NUDT10
NM_001128929	ROBO2
NM_017772	TBC1D22B
NM_001113361	TBC1D14
NM_001135047	JDP2
NM_001261825	OASL
NM_032590	KDM2B
NM_001287439	JADE1
NM_001105562	UBE4B
NM_001135187	AGFG1
NM_020381	PDSS2
NM_175873	SOWAHA
NM_001170794	BACH2
NM_001083962	TCF4
NM_001166050	APBB2
NM_199320	JADE1
NM_016371	HSD17B7
NM_001114978	TP63
NM_014079	KLF15
NM_001143678	SGK1
NM_001165037	GABRA5
NM_001301194	LINGO1
NM_016131	RAB10
NM_001243776	CEP57
NM_001001567	PDE9A
NM_153759	DNMT3A
NM_031940	TM2D2
NM_133468	BMPER
NM_001220477	PPFIA2
NM_001195799	LDLR
NM_015570	AUTS2
NM_001323652	ZEB1
NM_003625	PPFIA2
NM_001206941	TCAF1
NM_004337	OSGIN2
NM_001037637	BTF3
NM_005863	NET1
NM_005688	ABCC5
NM_001290135	EI24
NM_001308101	DCUN1D1
NM_001297732	COX18
NM_001201366	DNAL1
NM_001322491	HPS1
NM_001167	XIAP
NM_001171025	PTPRD
NM_001288718	STAT5A
NM_001248011	NUDT9
NM_005100	AKAP12
NM_153695	ZNF367
NM_177398	LMX1A
NM_001164715	ZNF605
NM_001178137	CPEB3
NM_001251901	CD83
NM_001004317	LIN28B
NM_175900	C16orf54
NM_198391	FLRT3
NM_001286634	MAP3K7CL
NM_001201477	NETO2
NM_001252039	RAB5C
NM_001102421	ZFAND5
NM_021239	RBM25
NM_001012320	ZNF302
NM_024940	DOCK5
NM_001270532	WTAP
NM_001278098	GDNF
NM_012158	FBXL3
NM_001167681	FLI1
NM_001193307	SAMD9
NM_032229	SLITRK6
NM_005233	EPHA3
NM_001303	COX10
NM_001256099	CTHRC1
NM_001318092	SWI5
NM_020344	SLC24A2
NM_001171611	LDB3
NM_199231	GDNF
NM_001006600	ERBIN
NM_020655	JPH3
NM_001304472	CHRD
NM_001177384	CPEB2
NM_001321312	NAB1
NM_032429	LZTS2
NM_032453	ZNF527
NM_001009555	SH3D19
NM_001128923	SH3D19
NM_012243	SLC35A3
NM_001195571	PRR9
NM_001172712	SP3
NM_001033519	WIPI2
NM_001077188	HS6ST2
NM_001199772	PSMA5
NM_016836	RBMS1
NM_000875	IGF1R
NM_020432	PHTF2
NM_001282302	TMEM185A
NM_001278690	FGFR1OP
NM_005522	HOXA1
NM_005813	PRKD3
NM_001321099	PGAP1
NM_001301187	LINGO1
NM_001323356	PTPRE
NM_001323646	ZEB1
NM_018008	FEZF2
NM_020993	BCL7A
NM_001322914	ZNF567
NM_006434	SORBS1
NM_006469	IVNS1ABP
NM_001010888	ZC3H12B
NM_001172624	NEO1
NM_001282799	R3HDM1
NM_001083589	E2F5
NM_017737	FNBP1L
NM_001080115	LDB3
NM_198595	AFAP1
NM_002850	PTPRS
NM_031461	CRISPLD1
NM_152857	WTAP
NM_001164732	REEP1
NM_001130688	HMGB2
NM_006401	ANP32B
NM_001252231	SEC24A
NM_001270695	ARHGAP12
NM_001033925	TIAL1
NM_058216	RAD51C
NM_198460	GBP6
NM_015385	SORBS1
NM_001318141	ZNF485
NM_001301833	MEMO1
NM_001289182	ZNF302
NM_001282238	BCL11B
NM_001321315	NAB1
NM_001040712	PTPRD
NM_175854	PAN3
NM_016322	RAB14
NM_001191022	CTCF
NM_015208	ANKRD12
NM_003618	MAP4K3
NM_001323662	ZEB1
NM_031208	FAHD1
NM_001220484	HEATR4
NM_003842	TNFRSF10B
NM_032552	DAB2IP
NM_003642	HAT1
NM_001319126	ZNF431
NM_001102420	ZFAND5
NM_001316668	DLC1
NM_004637	RAB7A
NM_002924	RGS7
NM_002227	JAK1
NM_005627	SGK1
NM_138419	MTFR2
NM_001297598	MIER3
NM_001034841	ITPRIPL2
NM_020746	MAVS
NM_015480	NECTIN3
NM_001080114	LDB3
NM_001282286	DYRK4
NM_001287347	TAL1
NM_001510	GRID2
NM_001010872	FAM83B
NM_015711	BICRA
NM_007078	LDB3
NM_001321164	ARHGAP44
NM_001161661	WWC1
NM_001565	CXCL10
NM_001284	AP3S1
NM_001207025	POU2F2
NM_171999	SALL3
NM_198038	NUDT9
NM_001146284	TCF7L2
NM_001307936	SLC38A2
NM_001282549	BARD1
NM_133473	ZNF431
NM_001278119	ZKSCAN8
NM_015955	MEMO1
NM_001146285	TCF7L2
NM_001177383	CPEB2
NM_001177597	THPO
NM_032638	GATA2
NM_145280	METTL21A
NM_002266	KPNA2
NM_001284274	HECTD2
NM_020123	TM9SF3
NM_001321856	JAK1
NM_001271870	SRGAP2B
NM_198441	PRR20A
NM_001681	ATP2A2
NM_001029882	AHDC1
NM_182972	IRF2BP2
NM_001098815	TESPA1
NM_001314044	IL33
NM_138576	BCL11B
NM_001001971	FAM13C
NM_020457	THAP11
NM_006902	PRRX1
NM_001164473	FNBP1L
NM_001193273	RBBP5
NM_014314	DDX58
NM_024835	GGNBP2
NM_004018	DMD
NM_001127240	BBC3
NM_032747	ATP5MD
NM_001167675	CADM2
NM_001281433	ZNHIT3
NM_003413	ZIC3
NM_020977	ANK2
NM_001291976	SPARCL1
NM_001281767	EPHA5
NM_004932	CDH6
NM_134260	RORA
NM_032511	FAXC
NM_015255	UBR2
NM_001271287	ZNF512
NM_001286194	SCAF8
NM_182646	CPEB2
NM_175736	FMNL3
NM_001320047	C1orf112
NM_021072	HCN1
NM_003185	TAF4
NM_016260	IKZF2
NM_001185082	FMR1
NM_001318849	DOCK9
NM_001136156	ZNF507
NM_001099286	MTFR2
NM_021620	PRDM13
NM_001162916	TYW3
NM_001270944	KLF7
NM_001282775	RGS7
NM_006609	MAP3K2
NM_001195626	MLLT10
NM_004202	TMSB4Y
NM_020247	COQ8A
NM_001001994	GPM6B
NM_032324	NTPCR
NM_001323643	ZEB1
NM_153649	TPM3
NM_172159	KCNAB1
NM_001144663	CDH17
NM_003922	HERC1
NM_207294	MBNL1
NM_178439	GMCL1
NM_134442	CREB1
NM_022459	XPO4
NM_003109	SP1
NM_002581	PAPPA
NM_001922	DCT
NM_001164730	REEP1
NM_001174160	SH2D4A
NM_004009	DMD
NM_005204	MAP3K8
NM_001212	C1QBP
NM_152730	TBC1D32
NM_001270696	ARHGAP12
NM_001291969	POLH
NM_031496	PCDHA2
NM_001220478	PPFIA2
